Order ID,Date,Product,Category,Quantity,Unit Price,Total Sales,Region,Customer ID
1,2023-01-21,Rice,Grocery,8,800,6400,East,CUST7265
2,2023-04-10,Jacket,Clothing,8,472,3776,West,CUST9322
3,2023-10-21,Comics,Books,8,591,4728,South,CUST6311
4,2023-11-10,Rice,Grocery,1,559,559,South,CUST7396
5,2023-02-28,Rice,Grocery,1,574,574,East,CUST8849
6,2023-02-24,Snacks,Grocery,3,975,2925,West,CUST2528
7,2023-01-21,Shirt,Clothing,3,746,2238,North,CUST6393
8,2023-12-12,Rice,Grocery,2,876,1752,North,CUST8041
9,2023-09-21,Snacks,Grocery,7,527,3689,East,CUST9226
10,2023-01-02,Laptop,Electronics,8,487,3896,South,CUST4843
11,2023-02-13,Magazine,Books,2,829,1658,South,CUST5297
12,2023-08-03,Milk,Grocery,8,561,4488,West,CUST2016
13,2023-02-22,Novel,Books,2,978,1956,West,CUST5859
14,2023-01-15,Rice,Grocery,9,256,2304,North,CUST1064
15,2023-05-09,Headphones,Electronics,9,443,3987,West,CUST3695
16,2023-06-12,Jacket,Clothing,1,491,491,East,CUST6892
17,2023-05-15,Sofa,Furniture,9,127,1143,North,CUST4104
18,2023-02-04,Magazine,Books,8,825,6600,North,CUST9110
19,2023-09-12,Shirt,Clothing,5,317,1585,South,CUST7938
20,2023-12-18,Headphones,Electronics,3,674,2022,East,CUST8408
21,2023-08-19,Rice,Grocery,4,833,3332,North,CUST2678
22,2023-06-09,Shirt,Clothing,4,624,2496,East,CUST4157
23,2023-10-11,Milk,Grocery,9,745,6705,West,CUST4627
24,2023-08-19,Milk,Grocery,7,447,3129,South,CUST8392
25,2023-08-21,Smartphone,Electronics,9,727,6543,East,CUST8526
26,2023-11-03,Shirt,Clothing,5,324,1620,South,CUST1663
27,2023-06-29,Jeans,Clothing,8,332,2656,North,CUST2853
28,2023-10-22,Laptop,Electronics,4,367,1468,South,CUST8554
29,2023-07-06,Smartphone,Electronics,1,180,180,North,CUST5737
30,2023-08-13,Milk,Grocery,7,835,5845,North,CUST6249
31,2023-09-04,Comics,Books,6,515,3090,West,CUST4510
32,2023-10-21,Jacket,Clothing,1,866,866,West,CUST9004
33,2023-08-28,Milk,Grocery,6,610,3660,West,CUST9800
34,2023-12-15,Headphones,Electronics,6,563,3378,East,CUST1659
